GenomeGuard_Version	1.1
Sample	SRR39879765
Input_Mode	PAIRED-END
Read1	SRR39879765_1.fastq
Read2	SRR39879765_2.fastq
Total_Records	1148067
Classified_Records	1139519
Unclassified_Records	8548
Classification_Rate_Percent	99.2554
Unclassified_Rate_Percent	0.7446
Dominant_TaxID	562
Dominant_Taxon	Escherichia coli
Dominant_Reads	590731
Dominant_Fraction_Percent	51.8404
Secondary_Reads	548788
Secondary_Burden_Percent	48.1596
Leading_Secondary_TaxID	624
Leading_Secondary_Taxon	Shigella sonnei
Leading_Secondary_Reads	134161
Unique_Classified_Taxa	599
Unclassified_QC	PASS
Dominant_Signal_QC	PASS
Secondary_Burden_QC	FLAG
Taxonomic_Complexity_QC	FLAG
Integrity_Category	MODERATE DOMINANCE
