name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Buchnera aphidicola	9	species	619958	10	6	0.0
Dictyoglomus thermophilum	14	species	1959987	1	0	0.0
Shewanella	22	genus	0	1	0	0.0
Shewanella putrefaciens	24	species	4749735	1	0	0.0
Myxococcus fulvus	33	species	10026214	8	6	0.0
Stigmatella aurantiaca	41	species	10260756	1	0	0.0
Archangium gephyra	48	species	12489432	1	0	0.0
Treponema denticola	158	species	2843201	1	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	1	0	0.0
Campylobacter jejuni	197	species	6156435	1	1	0.0
Francisella tularensis	263	species	2777166	1	0	0.0
Meiothermus ruber	277	species	3097457	2	1	0.0
Pseudomonas	286	genus	0	215	1	0.0
Pseudomonas aeruginosa	287	species	22457305	83	64	0.0
Pseudoalteromonas atlantica	288	species	5187005	2	0	0.0
Burkholderia cepacia	292	species	13365495	1	1	0.0
Pseudomonas fluorescens	294	species	14826544	12	7	0.0
Pseudomonas putida	303	species	6888188	16	4	0
Ralstonia solanacearum	305	species	11186335	1	1	0.0
Pseudomonas stutzeri	316	species	7755802	2	2	0.0
Ralstonia pickettii	329	species	6378979	1	0	0.0
Methylobacillus flagellatus	405	species	2971517	1	0	0.0
Methylobacterium extorquens	408	species	6163878	1	0	0.0
Methylococcus capsulatus	414	species	3304561	1	0	0.0
Gluconobacter oxydans	442	species	3306867	1	0	0.0
Moraxellaceae	468	family	0	128	0	0.0
Acinetobacter	469	genus	0	288	0	0.0
Acinetobacter baumannii	470	species	11595472	146	30	0
Moraxella catarrhalis	480	species	2846413	2	1	0.0
Neisseria gonorrhoeae	485	species	4967431	3	0	0.0
Neisseria lactamica	486	species	2220606	2	0	0.0
Neisseria meningitidis	487	species	8508873	1	0	0.0
Neisseria elongata	495	species	2256647	1	0	0.0
Alcaligenaceae	506	family	0	25	0	0.0
Alcaligenes	507	genus	0	3	0	0.0
Enterobacteriaceae	543	family	0	1496	940	0.0
Citrobacter	544	genus	0	21	0	0.0
Citrobacter koseri	545	species	4735357	62	4	0
Citrobacter freundii	546	species	16193243	1117	218	2.75308e-06
Enterobacter	547	genus	0	304	4	0.0
[Enterobacter] aerogenes	548	species	10750562	33	3	0
Pantoea agglomerans	549	species	9924054	4	2	0
Enterobacter cloacae	550	species	10083180	2652	1947	0.000286797
Erwinia	551	genus	0	1	0	0.0
Erwinia amylovora	552	species	3869718	5	1	0.0
Pantoea ananatis	553	species	4842757	4	3	0.0
Pectobacterium carotovorum	554	species	4852842	7	3	0.0
Escherichia	561	genus	0	144	0	0.0
Escherichia coli	562	species	12319210	590731	333903	0.629075
Shimwellia blattae	563	species	4158725	12	1	0
Escherichia fergusonii	564	species	4643861	7055	581	0.000807949
Hafnia alvei	569	species	6928293	7	6	0.0
Klebsiella	570	genus	0	144	0	0.0
Klebsiella oxytoca	571	species	16779606	466	217	0
Klebsiella pneumoniae	573	species	15713353	2387	1334	0.000840024
Morganella morganii	582	species	3853791	1	0	0.0
Proteus	583	genus	0	98	0	0.0
Proteus mirabilis	584	species	5337360	12	5	0.0
Proteus vulgaris	585	species	3794983	6	0	0.0
Providencia	586	genus	0	2	0	0.0
Providencia stuartii	588	species	6521015	211	210	0.0
Salmonella	590	genus	0	51	0	0.0
Serratia	613	genus	0	28	0	0.0
Serratia liquefaciens	614	species	7946985	1	1	0.0
Serratia marcescens	615	species	8465231	34	7	0
Shigella	620	genus	0	8633	0	0.0
Shigella boydii	621	species	4698475	119974	10379	0.0580785
